"","state","week","total_cases","total_deaths","total_cases_us","total_deaths_us","total_cases_state_all_weeks","total_deaths_state_all_weeks","percentage_cases_spatial","percentage_deaths_spatial","percentage_cases_bar","percentage_deaths_bar"
"1","Alabama",1,91116,3322,13644993,786250,157337771,2922073,0.667761427213631,0.422511923688394,0.0579110784529927,0.11368641372067
"2","Alabama",2,58616,2373,7940175,474933,157337771,2922073,0.738220505215565,0.499649424234576,0.0372548814105165,0.0812094701261741
"3","Alabama",3,70381,2922,8896630,534045,157337771,2922073,0.791097303136131,0.547144903519366,0.0447324247398929,0.0999975017735697
"4","Alabama",4,86347,3316,9837494,582599,157337771,2922073,0.877733699253082,0.569173651173449,0.0548800198777444,0.113481080041464
"5","Alabama",5,106177,3748,10727153,623896,157337771,2922073,0.989796640357418,0.600741149165887,0.067483477950123,0.128265104944332
"6","Alabama",6,121349,4157,11646234,661268,157337771,2922073,1.0419591431874,0.628640732653024,0.0771264263048445,0.142262017410243
"7","Alabama",7,149955,4629,12570310,693159,157337771,2922073,1.19293000729497,0.667812146996577,0.0953076931539853,0.158414933507821
"8","Alabama",8,178329,5014,13688447,718836,157337771,2922073,1.30277013893541,0.697516540629573,0.113341506535007,0.171590511256906
"9","Alabama",9,213133,5520,15271347,754416,157337771,2922073,1.39563982142505,0.731691798689317,0.135462069053972,0.188906984869988
"10","Alabama",10,259454,6045,17321941,779487,157337771,2922073,1.49783445169338,0.775510046992445,0.164902552229496,0.206873681800557
"11","Alabama",11,318016,6695,19735326,808303,157337771,2922073,1.6114048483415,0.828278504471714,0.202123112574157,0.229118163714596
"12","Alabama",12,395673,7662,22513159,840740,157337771,2922073,1.75751879156541,0.911340009991198,0.25147998315039,0.262211108346711
"13","Alabama",13,1538747,26723,75392468,2322210,157337771,2922073,2.04098239627863,1.15075725278937,0.977989576323666,0.914521984905921
"14","Alabama",14,1741158,29795,82613109,2473036,157337771,2922073,2.10760498070591,1.20479443081298,1.1066370070795,1.01965282865965
"15","Alabama",15,1910109,31980,89958441,2613757,157337771,2922073,2.12332381349294,1.223526134985,1.21401808851099,1.09442851017069
"16","Alabama",16,2087684,33777,98283032,2744562,157337771,2922073,2.12415506269689,1.23068817538099,1.32688037127461,1.15592594709304
"17","Alabama",17,2286421,36546,108710383,2877454,157337771,2922073,2.10322228374451,1.27008112032373,1.45319269840171,1.25068744004684
