"","state","week","response","percentage","diff"
"1","National",1,"Covid Cases",0.0502818885575677,0.0502819
"2","National",2,"Covid Cases",0.0292595968702648,-0.02102229
"3","National",3,"Covid Cases",0.0327841398084934,0.003524543
"4","National",4,"Covid Cases",0.0362512298096262,0.00346709
"5","National",5,"Covid Cases",0.0395296290504494,0.003278399
"6","National",6,"Covid Cases",0.0429164485539389,0.00338682
"7","National",7,"Covid Cases",0.0463216746651375,0.003405226
"8","National",8,"Covid Cases",0.0504420168321209,0.004120342
"9","National",9,"Covid Cases",0.056275013697548,0.005832997
"10","National",10,"Covid Cases",0.063831466015612,0.007556452
"11","National",11,"Covid Cases",0.0727248055443685,0.00889334
"12","National",12,"Covid Cases",0.0829611383396681,0.01023633
"13","National",13,"Covid Cases",0.277821738278355,0.1948606
"14","National",14,"Covid Cases",0.30442984764684,0.02660811
"15","National",15,"Covid Cases",0.331497444166848,0.0270676
"16","National",16,"Covid Cases",0.362173616514414,0.03067617
"17","National",17,"Covid Cases",0.400598473231647,0.03842486
"18","National",18,"Covid Cases",0.455991381116664,0.05539291
"19","National",19,"Covid Cases",0.549584434019593,0.09359305
"20","National",20,"Covid Cases",0.664494302758205,0.1149099
"21","National",21,"Covid Cases",0.805116533158528,0.1406222
"22","National",22,"Covid Cases",1.09597586145511,0.2908593
"23","National",23,"Covid Cases",1.22064588644284,0.12467
"24","National",24,"Covid Cases",1.30413293049206,0.08348704
"25","National",25,"Covid Cases",1.35516234842301,0.05102942
"26","National",26,"Covid Cases",1.39761207615757,0.04244973
"27","National",27,"Covid Cases",1.43608101292314,0.03846894
"28","National",28,"Covid Cases",1.52395592692974,0.08787491
"29","National",29,"Covid Cases",1.55807872643708,0.0341228
"30","National",30,"Covid Cases",1.58128349641772,0.02320477
"31","National",31,"Covid Cases",1.59477022240407,0.01348673
"32","National",32,"Covid Cases",1.6028149970499,0.008044775
"33","National",33,"Covid Cases",1.6117503382833,0.008935341
"34","National",34,"Covid Cases",1.66261268170235,0.05086234
"35","National",35,"Covid Cases",1.73299330349603,0.07038062
"36","National",36,"Covid Cases",1.83033751249989,0.09734421
"37","National",37,"Covid Cases",1.93502258988371,0.1046851
"38","National",38,"Covid Cases",2.0307348274075,0.09571224
"39","National",39,"Covid Cases",2.10408165100221,0.07334682
