State,EST_ST,WEEK,count,anxiety_percentage,depression_percentage
Alabama,1,1,987,18.689969604863222,16.15400202634245
Alabama,1,2,582,31.695876288659793,27.395189003436425
Alabama,1,3,1947,9.474576271186441,8.189008731381612
Alabama,1,4,1662,11.09927797833935,9.593261131167269
Alabama,1,5,1756,10.50512528473804,9.079726651480637
Alabama,1,6,1296,14.233796296296296,12.302469135802468
Alabama,1,7,1102,16.73956442831216,14.468239564428313
Alabama,1,8,1566,11.779693486590038,10.181353767560664
Alabama,1,9,1633,11.296387017758727,9.763625229638702
Alabama,1,10,1480,12.46418918918919,10.772972972972973
Alabama,1,11,1483,12.438975050573163,10.75118004045853
Alabama,1,12,1496,12.330882352941176,10.657754010695188
Alabama,1,13,1542,11.963035019455253,10.33981841763943
Alabama,1,14,1550,11.901290322580644,10.286451612903226
Alabama,1,15,1408,13.1015625,11.323863636363637
Alabama,1,16,1304,14.146472392638037,12.226993865030675
Alabama,1,17,1139,16.195785776997365,13.998244073748902
Alabama,1,18,1476,12.497967479674797,10.802168021680217
Alabama,1,19,1652,11.166464891041162,9.65133171912833
Alabama,1,20,1768,10.433823529411764,9.018099547511312
Alabama,1,21,1880,9.812234042553191,8.480851063829787
Alabama,1,22,1724,10.700116009280743,9.248259860788863
Alabama,1,23,1974,9.344984802431611,8.077001013171225
Alabama,1,24,1830,10.080327868852459,8.71256830601093
Alabama,1,25,2016,9.150297619047619,7.908730158730159
Alabama,1,26,1954,9.440634595701125,8.159672466734904
Alabama,1,27,1984,9.29788306451613,8.036290322580646
Alaska,2,1,1823,14.184311574328031,11.975863960504663
Alaska,2,2,806,32.0818858560794,27.086848635235732
Alaska,2,3,2371,10.90594685786588,9.207929143821172
Alaska,2,4,1425,18.1459649122807,15.320701754385965
Alaska,2,5,1507,17.158593231585932,14.487060384870604
Alaska,2,6,1212,21.334983498349835,18.013201320132012
Alaska,2,7,790,32.731645569620255,27.635443037974685
Alaska,2,8,1954,13.233367451381781,11.172978505629478
Alaska,2,9,1457,17.74742621825669,14.984214138641043
Alaska,2,10,1278,20.233176838810643,17.082942097026603
Alaska,2,11,1171,22.08198121263877,18.643894107600342
Alaska,2,12,1012,25.551383399209485,21.57312252964427
Alaska,2,13,2141,12.07753386268099,10.19710415693601
Alaska,2,14,2112,12.243371212121213,10.337121212121213
Alaska,2,15,1959,13.199591628381828,11.144461459928534
Alaska,2,16,1925,13.432727272727274,11.341298701298701
Alaska,2,17,1769,14.617297908422838,12.34143583945732
Alaska,2,18,2698,9.584136397331356,8.091919940696812
