tokens;n;value;week;state
care;713;2;1;Alabama
safe;654;1;1;Alabama
sick;654;-2;1;Alabama
safety;90;1;1;Alabama
proud;86;2;1;Alabama
exposed;54;-1;1;Alabama
cut;51;-1;1;Alabama
ensure;50;1;1;Alabama
healthy;50;2;1;Alabama
inspired;50;2;1;Alabama
robust;50;2;1;Alabama
debt;43;-2;1;Alabama
dilemma;43;-1;1;Alabama
safely;43;1;1;Alabama
combat;36;-1;1;Alabama
prevent;36;-1;1;Alabama
awarded;22;3;1;Alabama
validate;22;1;1;Alabama
excellent;16;3;1;Alabama
urgent;16;-1;1;Alabama
commended;14;2;1;Alabama
crisis;14;-3;1;Alabama
glad;14;3;1;Alabama
honor;14;2;1;Alabama
difficult;119;-1;1;Alaska
encouraged;75;2;1;Alaska
support;72;2;1;Alaska
protect;71;1;1;Alaska
humor;63;2;1;Alaska
joke;63;2;1;Alaska
share;63;1;1;Alaska
smile;63;2;1;Alaska
devastating;62;-2;1;Alaska
reliant;62;2;1;Alaska
advanced;54;1;1;Alaska
free;53;1;1;Alaska
healthy;53;2;1;Alaska
wonderful;50;4;1;Alaska
ensure;42;1;1;Alaska
amazing;32;4;1;Alaska
threat;32;-2;1;Alaska
demand;28;-1;1;Alaska
drop;28;-1;1;Alaska
capable;27;1;1;Alaska
competitive;27;2;1;Alaska
devastated;26;-2;1;Alaska
cancer;25;-1;1;Alaska
encourage;22;2;1;Alaska
active;20;1;1;Alaska
alive;18;1;1;Alaska
isolated;18;-1;1;Alaska
ensuring;15;1;1;Alaska
challenge;10;-1;1;Alaska
dedicated;10;2;1;Alaska
dream;10;1;1;Alaska
illness;10;-2;1;Alaska
inspire;10;2;1;Alaska
motivate;10;1;1;Alaska
positive;10;2;1;Alaska
risk;10;-2;1;Alaska
severe;10;-2;1;Alaska
vulnerable;10;-2;1;Alaska
loss;8;-3;1;Alaska
pain;8;-2;1;Alaska
sore;8;-1;1;Alaska
join;3;1;1;Alaska
benefits;2;2;1;Alaska
helpful;2;2;1;Alaska
congrats;1;2;1;Alaska
focused;1;2;1;Alaska
hard;1;-1;1;Alaska
lack;1;-2;1;Alaska
limited;1;-1;1;Alaska
safety;1;1;1;Alaska
violence;1;-3;1;Alaska
brave;0;2;1;Alaska
cares;0;2;1;Alaska
cautious;0;-1;1;Alaska
distress;0;-2;1;Alaska
hope;0;2;1;Alaska
prevent;0;-1;1;Alaska
protected;0;1;1;Alaska
proud;0;2;1;Alaska
safe;0;1;1;Alaska
suicide;0;-2;1;Alaska
thankful;0;2;1;Alaska
heroes;1540;2;1;Arizona
care;1338;2;1;Arizona
safe;1137;1;1;Arizona
healthy;937;2;1;Arizona
support;812;2;1;Arizona
crisis;670;-3;1;Arizona
protect;625;1;1;Arizona
calm;498;2;1;Arizona
loved;469;3;1;Arizona
suicide;455;-2;1;Arizona
cares;333;2;1;Arizona
honor;278;2;1;Arizona
ensure;265;1;1;Arizona
increased;208;1;1;Arizona
pay;158;-1;1;Arizona
grants;135;1;1;Arizona
improvement;135;2;1;Arizona
smart;133;1;1;Arizona
strong;133;2;1;Arizona
reach;126;1;1;Arizona
happy;112;3;1;Arizona
abuse;102;-3;1;Arizona
share;85;1;1;Arizona
approved;83;2;1;Arizona
emergency;79;-2;1;Arizona
fair;77;2;1;Arizona
danger;76;-2;1;Arizona
glad;76;3;1;Arizona
safely;76;1;1;Arizona
lost;62;-3;1;Arizona
fight;61;-1;1;Arizona
fun;59;4;1;Arizona
joy;59;3;1;Arizona
grateful;57;3;1;Arizona
amazing;48;4;1;Arizona
struggling;39;-2;1;Arizona
scams;37;-2;1;Arizona
free;36;1;1;Arizona
helps;36;2;1;Arizona
trouble;35;-2;1;Arizona
importance;30;2;1;Arizona
expand;22;1;1;Arizona
helpful;20;2;1;Arizona
launched;12;1;1;Arizona
beautiful;0;3;1;Arizona
focused;0;2;1;Arizona
commit;2316;1;1;Arkansas
dedicated;2009;2;1;Arkansas
triumph;2009;4;1;Arkansas
destroys;1929;-3;1;Arkansas
scandal;1929;-3;1;Arkansas
hid;1906;-1;1;Arkansas
battle;1877;-1;1;Arkansas
beaten;1877;-2;1;Arkansas
bless;1877;2;1;Arkansas
god;1877;1;1;Arkansas
spirit;1877;1;1;Arkansas
strong;1877;2;1;Arkansas
destroyed;1581;-3;1;Arkansas
pay;1581;-1;1;Arkansas
benefit;1081;2;1;Arkansas
hostile;801;-2;1;Arkansas
victims;690;-3;1;Arkansas
worst;690;-3;1;Arkansas
grateful;612;3;1;Arkansas
cutting;423;-1;1;Arkansas
steal;423;-2;1;Arkansas
cares;349;2;1;Arkansas
care;183;2;1;Arkansas
helpful;183;2;1;Arkansas
crisis;148;-3;1;Arkansas
doubt;124;-1;1;Arkansas
heroes;106;2;1;Arkansas
honor;106;2;1;Arkansas
true;106;2;1;Arkansas
protect;95;1;1;Arkansas
awarded;70;3;1;Arkansas
support;67;2;1;Arkansas
glad;65;3;1;Arkansas
save;58;2;1;Arkansas
combat;39;-1;1;Arkansas
vulnerable;28;-2;1;Arkansas
joy;12;3;1;Arkansas
damage;8;-3;1;Arkansas
celebrated;7;3;1;Arkansas
ensure;7;1;1;Arkansas
freedom;7;2;1;Arkansas
happiness;7;3;1;Arkansas
honored;7;2;1;Arkansas
war;7;-2;1;Arkansas
wishing;7;1;1;Arkansas
helping;6;2;1;Arkansas
significant;6;1;1;Arkansas
approved;4;2;1;Arkansas
unemployment;4;-2;1;Arkansas
expand;3;1;1;Arkansas
pleased;3;3;1;Arkansas
benefits;2;2;1;Arkansas
encourage;2;2;1;Arkansas
abuse;1;-3;1;Arkansas
increased;1;1;1;Arkansas
supporting;1;1;1;Arkansas
lost;0;-3;1;Arkansas
warn;0;-2;1;Arkansas
crisis;80666;-3;1;California
failed;63942;-2;1;California
care;38717;2;1;California
lost;36421;-3;1;California
death;24719;-2;1;California
sentence;24719;-2;1;California
competent;21938;2;1;California
rejected;21938;-1;1;California
failing;21294;-2;1;California
join;16269;1;1;California
safe;9932;1;1;California
opportunity;9500;2;1;California
pain;7842;-2;1;California
tragedy;7842;-2;1;California
healthy;7599;2;1;California
exposed;6807;-1;1;California
outraged;6807;-3;1;California
racist;6807;-3;1;California
strong;6807;2;1;California
leave;6695;-1;1;California
sick;6695;-2;1;California
hurt;6567;-2;1;California
died;5583;-3;1;California
growing;5583;1;1;California
save;5583;2;1;California
swiftly;5583;2;1;California
safety;5044;1;1;California
ensure;4979;1;1;California
strike;4920;-1;1;California
justice;4758;2;1;California
vulnerable;4583;-2;1;California
bailout;4534;-2;1;California
disregard;4534;-2;1;California
harmful;4534;-2;1;California
polluters;4534;-2;1;California
focused;4096;2;1;California
grateful;3917;3;1;California
inspiring;3917;3;1;California
protect;3911;1;1;California
prepared;3841;1;1;California
wealthy;3841;2;1;California
demanding;3683;-1;1;California
devastating;3683;-2;1;California
disaster;3683;-2;1;California
benefits;3550;2;1;California
combat;3223;-1;1;California
sadly;3223;-2;1;California
hate;2565;-3;1;California
expand;2560;1;1;California
