sentiments;week;prc
anger;1;4,60138076042216
anger;2;4,59941875939134
anger;3;4,66089315092694
anger;4;4,19847570368602
anger;5;6,32628776194367
anger;6;5,88837874118368
anger;7;5,29803830564468
anger;8;4,60943744700844
anger;9;6,14788037639239
anger;10;4,97795302873516
anger;11;5,53778971552848
anger;12;5,71725815762738
anger;13;5,37180500874097
anger;14;5,67375943549904
anger;15;6,94877750977615
anger;16;6,59478840606608
anger;17;8,07581858234994
anger;18;6,67796476549483
anger;19;4,52533846137335
anger;20;4,75396328812917
anger;21;4,84380030075606
anger;22;7,29329854286923
anger;23;4,99017860532451
anger;24;5,43025435263080
anger;25;4,89310998114942
anger;26;5,36783248740825
anger;27;6,03954782140709
anger;28;6,15442446821009
anger;29;4,65662538659671
anger;30;5,32038314044958
anger;31;5,46847256521701
anger;32;6,21976484349430
anger;33;6,26306228408475
anger;34;6,18202225510900
anger;35;5,91283710958635
anger;36;5,38326861658953
anger;37;6,32097860444692
anger;38;6,60318998330494
anger;39;6,74101729579194
fear;1;10,54300100064588
fear;2;11,32825757208774
fear;3;10,79428530191421
fear;4;10,33519384222371
fear;5;12,43443427112763
fear;6;10,56606709919550
fear;7;11,10229361447083
fear;8;9,65737787924129
fear;9;11,33823793841841
fear;10;10,15696737040890
fear;11;9,99715646271530
fear;12;11,15954226276261
fear;13;9,86838827737014
fear;14;11,02264842731483
fear;15;10,85371957775059
fear;16;10,60224697380107
fear;17;10,47920086069113
fear;18;10,02731173483567
fear;19;9,29750897307144
fear;20;9,65507417858273
fear;21;8,92194188661075
fear;22;10,87885477456320
fear;23;9,68358461765236
fear;24;10,01522793232848
fear;25;9,80499053329010
fear;26;10,09762439331917
fear;27;10,26808714554389
fear;28;10,73434939941236
fear;29;10,11441131367604
fear;30;10,06565376115396
fear;31;10,68933288551012
fear;32;9,89551555932006
fear;33;9,24808917909532
fear;34;10,66558434555508
fear;35;9,67033789991143
fear;36;11,05047936566524
fear;37;11,27055234668421
fear;38;11,10350116393197
fear;39;11,03809092979047
positive;1;25,85054991311084
positive;2;23,47079219122260
positive;3;24,02444443291687
positive;4;25,42852040587395
positive;5;20,52061771008080
positive;6;25,35518203381490
positive;7;24,23873342060320
positive;8;25,00127903659713
positive;9;21,91409411661585
positive;10;23,33931669151941
positive;11;24,97096799867981
positive;12;24,55148524108082
positive;13;24,80682473948549
positive;14;22,74038866869753
positive;15;22,98903249893220
positive;16;23,62362112003589
positive;17;21,53287755325027
positive;18;22,43982544219320
positive;19;26,48585977981307
positive;20;25,75150117647405
positive;21;27,25890606242519
positive;22;22,86017412795864
positive;23;26,33251264553746
positive;24;23,82210926560919
positive;25;26,13634096442021
positive;26;23,39513196206346
positive;27;23,44683744865447
positive;28;23,98949579390364
positive;29;24,45244082628167
positive;30;24,78719727667806
positive;31;24,86644109014799
positive;32;23,47983048339443
positive;33;24,78711881626828
positive;34;24,10755184723343
positive;35;23,50021470293739
positive;36;24,58743044298634
positive;37;23,93923940060077
positive;38;22,18098636953372
positive;39;20,56219935850542
trust;1;15,50810914561808
trust;2;16,24791023775946
trust;3;17,04381729816366
trust;4;17,58655623802645
trust;5;15,37198795870360
trust;6;17,83783788359656
trust;7;15,41061847878384
trust;8;18,57994870710907
trust;9;15,97693734574297
trust;10;16,83910127478942
trust;11;17,32823767696802
trust;12;15,35182366572108
trust;13;15,61062301265354
trust;14;15,13371091027501
trust;15;16,74349050927808
trust;16;16,45772923302515
trust;17;16,43059636622581
trust;18;17,70357558356617
trust;19;17,45740292900673
trust;20;15,78576397340101
trust;21;17,31233255386680
trust;22;18,07129591166695
trust;23;16,78242571451418
trust;24;16,01722103833958
trust;25;16,16684801291381
trust;26;15,34507018624700
trust;27;15,86056897187572
trust;28;16,42043611734654
trust;29;16,21196441934569
trust;30;17,25285457793005
trust;31;15,39166744590496
trust;32;16,46946392529617
trust;33;19,14695855468461
trust;34;16,47542276878642
trust;35;16,36686294094245
trust;36;15,20040045656645
trust;37;15,80690520674759
trust;38;15,55143456771014
trust;39;15,25270876389927
