state,week,total_cases,total_deaths,total_cases_us,total_deaths_us,percentage_cases,percentage_deaths
Alabama,1,91116,3322,13644993,786250,0.6677614272136306,0.42251192368839424
Alabama,2,58616,2373,7940175,474933,0.7382205052155651,0.4996494242345762
Alabama,3,70381,2922,8896630,534045,0.7910973031361312,0.5471449035193664
Alabama,4,86347,3316,9837494,582599,0.8777336992530822,0.5691736511734486
Alabama,5,106177,3748,10727153,623896,0.9897966403574182,0.6007411491658866
Alabama,6,121349,4157,11646234,661268,1.041959143187403,0.6286407326530242
Alabama,7,149955,4629,12570310,693159,1.1929300072949673,0.6678121469965765
Alabama,8,178329,5014,13688447,718836,1.3027701389354103,0.6975165406295734
Alabama,9,213133,5520,15271347,754416,1.3956398214250518,0.7316917986893173
Alabama,10,259454,6045,17321941,779487,1.4978344516933755,0.775510046992445
Alabama,11,318016,6695,19735326,808303,1.611404848341497,0.8282785044717142
Alabama,12,395673,7662,22513159,840740,1.757518791565413,0.9113400099911982
Alabama,13,1538747,26723,75392468,2322210,2.040982396278631,1.1507572527893688
Alabama,14,1741158,29795,82613109,2473036,2.107604980705907,1.2047944308129765
Alabama,15,1910109,31980,89958441,2613757,2.123323813492944,1.2235261349850044
Alabama,16,2087684,33777,98283032,2744562,2.1241550626968855,1.2306881753809897
Alabama,17,2286421,36546,108710383,2877454,2.1032222837445067,1.2700811203237306
Alabama,18,2553117,38988,123742353,3032206,2.0632523449752083,1.2857965454853661
Alabama,19,2881699,43279,149140694,3242863,1.9322016833313114,1.3345923031592761
Alabama,20,3309876,48017,180323778,3537929,1.8355183308104823,1.3572064334812823
Alabama,21,3940630,54450,218484424,3967089,1.803620563816485,1.3725429401760334
Alabama,22,5291012,72913,297414902,4959558,1.77900030039517,1.470151170729327
Alabama,23,5801291,91043,331246599,5536919,1.751351113494753,1.6442899020195165
Alabama,24,6168642,113964,353902473,6107034,1.7430344432772586,1.8661104555828576
Alabama,25,6354949,126011,367750323,6540703,1.7280607527841656,1.9265666091244322
Alabama,26,6515634,132654,379269903,6856950,1.7179412203451323,1.93459191039748
Alabama,27,6658729,136029,389709216,7073156,1.7086403725181598,1.9231726261940214
Alabama,28,6807873,140396,413555826,7388536,1.6461799283175858,1.9001869923892907
Alabama,29,6879600,142090,422815728,7515404,1.627091790681921,1.8906501899299093
Alabama,30,7013343,143717,429112805,7628850,1.634382129426317,1.8838619188999655
Alabama,31,7076378,145184,432772697,7733730,1.6351257944537105,1.8772830186727492
Alabama,32,7123615,146659,434955807,7800559,1.6377790307326556,1.8801088486094395
Alabama,33,7156650,147476,437380590,7853097,1.6362523083157394,1.8779342723004695
Alabama,34,7483272,149493,451183101,7948347,1.6585887156265633,1.8808061600732833
Alabama,35,8012913,151796,470282286,8038989,1.703851758515948,1.8882473903123889
Alabama,36,8701521,156647,496698578,8212460,1.751871534450014,1.9074309037730472
Alabama,37,9476165,162352,525106961,8480704,1.8046161456237104,1.9143693731086475
Alabama,38,10083202,175230,551080385,8831887,1.8297152782892099,1.9840607109216863
Alabama,39,10434995,189461,570984508,9178044,1.8275443298016767,2.0642851570552505
Alaska,1,4574,91,13644993,786250,0.03352145362038662,0.011573926868044515
Alaska,2,2267,48,7940175,474933,0.02855100800675048,0.010106688732937066
Alaska,3,2361,48,8896630,534045,0.026538138598547988,0.008988006628654888
Alaska,4,2452,48,9837494,582599,0.024925046968262445,0.008238943080918435
Alaska,5,2749,48,10727153,623896,0.025626557204879993,0.007693589957300576
Alaska,6,3501,49,11646234,661268,0.030061219790019675,0.0074100062304542184
Alaska,7,4299,59,12570310,693159,0.034199633899243534,0.008511755600085984
Alaska,8,5094,60,13688447,718836,0.0372138636325947,0.008346827370916314
Alaska,9,6276,70,15271347,754416,0.04109657124548346,0.009278700345697865
Alaska,10,8042,82,17321941,779487,0.04642666777354801,0.010519739264413646
Alaska,11,10268,90,19735326,808303,0.05202852995689051,0.011134438446968525
Alaska,12,13484,94,22513159,840740,0.059893860297437596,0.011180626590860433
Alaska,13,73664,408,75392468,2322210,0.0977073731025757,0.017569470461327785
Alaska,14,87294,507,82613109,2473036,0.10566603903019799,0.020501116845852627
Alaska,15,102265,577,89958441,2613757,0.11368027153783157,0.022075502810705052
Alaska,16,125652,709,98283032,2744562,0.12784709368754515,0.02583290157045095
Alaska,17,162137,819,108710383,2877454,0.1491458272205701,0.02846266178364624
Alaska,18,226898,1002,123742353,3032206,0.1833632499294724,0.033045248245007104
Alaska,19,321715,1214,149140694,3242863,0.21571241984431155,0.03743605573223414
Alaska,20,431840,1583,180323778,3537929,0.23948034185486064,0.04474369044715143
Alaska,21,540609,2176,218484424,3967089,0.24743594536514876,0.05485130280666756
Alaska,22,654245,2816,297414902,4959558,0.2199772088084544,0.05677925331249277
Alaska,23,691419,3252,331246599,5536919,0.2087324072420137,0.0587330246297625
Alaska,24,720175,3505,353902473,6107034,0.20349532849972485,0.05739283586762412
Alaska,25,746003,3630,367750323,6540703,0.20285583814429442,0.05549862147845576
Alaska,26,771117,3790,379269903,6856950,0.20331615925769886,0.05527238786924216
Alaska,27,795297,3864,389709216,7073156,0.20407446561386938,0.05462907929642722
Alaska,28,857191,4128,413555826,7388536,0.20727334645262618,0.055870337506645426
Alaska,29,883229,4303,422815728,7515404,0.20889218198619142,0.05725573768223239
Alaska,30,898161,4490,429112805,7628850,0.20930650158528827,0.05885552868387765
Alaska,31,906564,4576,432772697,7733730,0.20947809468673576,0.059169378812035066
Alaska,32,912060,4620,434955807,7800559,0.2096902686023916,0.05922652466316838
Alaska,33,917937,4659,437380590,7853097,0.20987145314335964,0.05932691268171016
Alaska,34,961325,4791,451183101,7948347,0.21306759891257543,0.06027668394447298
Alaska,35,1014372,4978,470282286,8038989,0.21569428196578938,0.06192320949810978
Alaska,36,1094162,5314,496698578,8212460,0.22028692016911713,0.06470655564836846
Alaska,37,1195504,5662,525106961,8480704,0.22766866348968473,0.06676332530884228
Alaska,38,1339839,6193,551080385,8831887,0.24312950278569614,0.07012091526986249
Alaska,39,1529281,7352,570984508,9178044,0.26783231043459416,0.08010421392619169
American Samoa,38,6,0,551080385,8831887,1.0887703796606733e-6,0
American Samoa,39,13,0,570984508,9178044,2.2767693024694115e-6,0
Arizona,1,96324,4081,13644993,786250,0.7059292738369305,0.5190461049284578
Arizona,2,65666,3139,7940175,474933,0.8270094802696415,0.6609353319310303
Arizona,3,82147,4024,8896630,534045,0.9233496278928088,0.7534945557022348
Arizona,4,96646,4750,9837494,582599,0.9824249956340507,0.8153120757158868
Arizona,5,116792,5412,10727153,623896,1.0887511346207144,0.86745226768564
Arizona,6,155785,6236,11646234,661268,1.3376427092225691,0.9430367112880103
Arizona,7,211721,7103,12570310,693159,1.6842941820846107,1.0247288140239108
Arizona,8,306673,8058,13688447,718836,2.2403783277971563,1.120978915914061
Arizona,9,428087,9450,15271347,754416,2.803203934793702,1.2526245466692116
Arizona,10,578832,10983,17321941,779487,3.3416116588781826,1.409003613915306
Arizona,11,724243,13128,19735326,808303,3.669779764469054,1.6241434214644757
Arizona,12,852332,16317,22513159,840740,3.7859280432390676,1.940790256202869
Arizona,13,2587777,63020,75392468,2322210,3.4324078633425295,2.7137941874335225
Arizona,14,2681300,68023,82613109,2473036,3.245610814622653,2.7505867282158447
Arizona,15,2790982,71720,89958441,2613757,3.1025237531628633,2.743942914356614
Arizona,16,2888389,74351,98283032,2744562,2.9388480811214697,2.7090297103873042
Arizona,17,3031412,75882,108710383,2877454,2.788521129577844,2.6371229566137284
Arizona,18,3255434,78456,123742353,3032206,2.6308163058770995,2.5874231500102565
Arizona,19,3675945,82513,149140694,3242863,2.4647498287757736,2.5444491487922867
Arizona,20,4396756,87590,180323778,3537929,2.4382563679427793,2.4757421644131354
Arizona,21,5513955,97974,218484424,3967089,2.5237291057416527,2.469669825910132
Arizona,22,8249332,136513,297414902,4959558,2.7736780990214136,2.752523511167729
Arizona,23,9524662,162458,331246599,5536919,2.8753991825890415,2.9340866283216354
Arizona,24,10222478,186765,353902473,6107034,2.888501431861992,3.0581948618592922
Arizona,25,10540535,203292,367750323,6540703,2.8662204601245174,3.1081062693108064
Arizona,26,10761184,212890,379269903,6856950,2.837341933773216,3.1047331539532883
Arizona,27,10884108,218311,389709216,7073156,2.7928792938784386,3.086472290445736
Arizona,28,11117918,223489,413555826,7388536,2.688371750806867,3.024807620887277
Arizona,29,11249051,225635,422815728,7515404,2.660509118998525,3.0023003420707655
Arizona,30,11362690,227380,429112805,7628850,2.647949412742414,2.9805278646191757
Arizona,31,11461235,229363,432772697,7733730,2.6483267265818298,2.9657487396120628
Arizona,32,11538382,231219,434955807,7800559,2.6527711124454534,2.9641337242625814
Arizona,33,11625015,233085,437380590,7853097,2.6578717176269757,2.968064701098178
Arizona,34,11967766,236461,451183101,7948347,2.6525297542116943,2.974970770652061
