state,EST_ST,week,count,anxiety_percentage,depression_percentage,total_cases,total_deaths,total_cases_us,total_deaths_us,total_cases_state_all_weeks,total_deaths_state_all_weeks,percentage_cases_spatial,percentage_deaths_spatial,percentage_cases_state,percentage_deaths_state
Alabama,1,1,987,18.69807497467072,16.181357649442756,91116,3322,13644993,786250,157337771,2922073,0.667761427213631,0.422511923688394,0.0579110784529927,0.11368641372067
Alabama,1,2,582,31.709621993127147,27.441580756013742,58616,2373,7940175,474933,157337771,2922073,0.738220505215565,0.499649424234576,0.0372548814105165,0.0812094701261741
Alabama,1,3,1947,9.478685156651258,8.202876219825372,70381,2922,8896630,534045,157337771,2922073,0.791097303136131,0.547144903519366,0.0447324247398929,0.0999975017735697
Alabama,1,4,1662,11.104091456077017,9.609506618531888,86347,3316,9837494,582599,157337771,2922073,0.877733699253082,0.569173651173449,0.0548800198777444,0.113481080041464
Alabama,1,5,1756,10.509681093394075,9.09510250569476,106177,3748,10727153,623896,157337771,2922073,0.989796640357418,0.600741149165887,0.067483477950123,0.128265104944332
Alabama,1,6,1296,14.239969135802468,12.323302469135802,121349,4157,11646234,661268,157337771,2922073,1.0419591431874,0.628640732653024,0.0771264263048445,0.142262017410243
Alabama,1,7,1102,16.74682395644283,14.492740471869327,149955,4629,12570310,693159,157337771,2922073,1.19293000729497,0.667812146996577,0.0953076931539853,0.158414933507821
Alabama,1,8,1566,11.784802043422731,10.198595146871009,178329,5014,13688447,718836,157337771,2922073,1.30277013893541,0.697516540629573,0.113341506535007,0.171590511256906
Alabama,1,9,1633,11.301285976729943,9.780159216166563,213133,5520,15271347,754416,157337771,2922073,1.39563982142505,0.731691798689317,0.135462069053972,0.188906984869988
Alabama,1,10,1480,12.469594594594597,10.791216216216217,259454,6045,17321941,779487,157337771,2922073,1.49783445169338,0.775510046992445,0.164902552229496,0.206873681800557
Alabama,1,11,1483,12.444369521240729,10.769386378961563,318016,6695,19735326,808303,157337771,2922073,1.6114048483415,0.828278504471714,0.202123112574157,0.229118163714596
Alabama,1,12,1496,12.336229946524064,10.675802139037431,395673,7662,22513159,840740,157337771,2922073,1.75751879156541,0.911340009991198,0.25147998315039,0.262211108346711
