Region,Week,Anxiety Percentage,Depression Percentage,Covid Cases Percentage,Covid Deaths Percentage
Alabama,1,18.69807497467072,16.181357649442756,0.0579110784529927,0.11368641372067
Alabama,2,31.709621993127147,27.441580756013742,0.0372548814105165,0.0812094701261741
Alabama,3,9.478685156651258,8.202876219825372,0.0447324247398929,0.0999975017735697
Alabama,4,11.104091456077017,9.609506618531888,0.0548800198777444,0.113481080041464
Alabama,5,10.509681093394075,9.09510250569476,0.067483477950123,0.128265104944332
Alabama,6,14.239969135802468,12.323302469135802,0.0771264263048445,0.142262017410243
Alabama,7,16.74682395644283,14.492740471869327,0.0953076931539853,0.158414933507821
Alabama,8,11.784802043422731,10.198595146871009,0.113341506535007,0.171590511256906
Alabama,9,11.301285976729943,9.780159216166563,0.135462069053972,0.188906984869988
Alabama,10,12.469594594594597,10.791216216216217,0.164902552229496,0.206873681800557
Alabama,11,12.444369521240729,10.769386378961563,0.202123112574157,0.229118163714596
Alabama,12,12.336229946524064,10.675802139037431,0.25147998315039,0.262211108346711
Alabama,13,11.96822308690013,10.357328145265887,0.977989576323666,0.914521984905921
Alabama,14,11.906451612903226,10.303870967741936,1.1066370070795,1.01965282865965
Alabama,15,13.107244318181818,11.343039772727272,1.21401808851099,1.09442851017069
Alabama,16,14.15260736196319,12.247699386503069,1.32688037127461,1.15592594709304
Alabama,17,16.202809482001754,14.021949078138718,1.45319269840171,1.25068744004684
Alabama,18,25.006775067750677,21.64092140921409,1.62269808690756,1.33425824748389
Alabama,19,22.34261501210654,19.33535108958838,1.83153668803405,1.48110605039641
Alabama,20,20.876696832579185,18.066742081447963,2.10367541052809,1.64325121240982
Alabama,21,19.632978723404257,16.990425531914894,2.50456706927671,1.86340313879906
Alabama,22,21.40951276102088,18.52784222737819,3.36283650541865,2.49524909199736
Alabama,23,18.69807497467072,16.181357649442756,3.68715723066904,3.11569902599969
Alabama,24,20.169398907103822,17.45464480874317,3.92063645035368,3.90010790284842
Alabama,25,18.308531746031747,15.844246031746032,4.03904857658114,4.31238370841522
Alabama,26,18.889457523029684,16.346980552712385,4.14117599263561,4.5397223135767
Alabama,27,18.603830645161292,16.099798387096776,4.2321236392754,4.65522250813036
Alabama,28,21.16399082568807,18.315366972477065,4.32691588086627,4.80467120431283
Alabama,29,19.467299578059073,16.84704641350211,4.37250378995136,4.8626437464088
Alabama,30,26.90233236151603,23.28134110787172,4.45750753644527,4.91832339575363
Alabama,31,20.016268980477225,17.322125813449023,4.49757102507827,4.96852748031962
Alabama,32,20.995449374288963,18.169510807736064,4.52759369522274,5.01900534312456
Alabama,33,22.78395061728395,19.717283950617283,4.54858992504731,5.04696494577651
Alabama,34,21.534422403733956,18.635939323220537,4.75618279859831,5.11599128426976
Alabama,35,19.52910052910053,16.900529100529102,5.09280953268367,5.19480519480519
Alabama,36,20.103485838779957,17.39760348583878,5.53047176446907,5.36081747444366
Alabama,37,20.853107344632768,18.046327683615814,6.0228163522159,5.55605558108918
Alabama,38,23.243073047858942,20.114609571788417,6.40863407172585,5.99677010122608
Alabama,39,25.84733893557423,22.368347338935575,6.63222501099243,6.48378736602405
Alaska,1,13.55677454744926,11.401535929786068,0.0240416430271193,0.0992312305763045
Alaska,2,30.662531017369727,25.787841191067,0.0119156984570353,0.0523417479962925
Alaska,3,10.423450021088149,8.766343315056938,0.0124097768226998,0.0523417479962925
Alaska,4,17.34315789473684,14.5859649122807,0.0128880867298856,0.0523417479962925
Alaska,5,16.39946914399469,13.792302587923023,0.0144491641192722,0.0523417479962925
Alaska,6,20.39108910891089,17.1493399339934,0.0184017910445878,0.0534322010795486
Alaska,7,31.28354430379747,26.310126582278478,0.0225962009999095,0.0643367319121095
Alaska,8,12.64790174002047,10.637154554759467,0.0267748424967525,0.0654271849953656
Alaska,9,16.962251201098148,14.265614275909403,0.0329876151373417,0.0763317158279265
Alaska,10,19.338028169014084,16.263693270735523,0.042269981028442,0.0894171528269996
