state,week,response,percentage
Alabama,1,Anxiety,18.69807497467072
Alabama,1,Depression,16.181357649442756
Alabama,1,Covid Cases,0.0579110784529927
Alabama,1,Covid Deaths,0.11368641372067
Alabama,1,Negative,2.380952380952381
Alabama,1,Positive,3.0303030303030303
Alaska,1,Anxiety,13.55677454744926
Alaska,1,Depression,11.401535929786068
Alaska,1,Covid Cases,0.0240416430271193
Alaska,1,Covid Deaths,0.0992312305763045
Alaska,1,Negative,5.846153846153846
Alaska,1,Positive,5.279503105590062
Arizona,1,Anxiety,18.17585848074922
Arizona,1,Depression,15.514568158168574
Arizona,1,Covid Cases,0.0397927194418579
Arizona,1,Covid Deaths,0.0856358054613023
Arizona,1,Negative,3.209109730848861
Arizona,1,Positive,5.301556420233463
Arkansas,1,Anxiety,20.946067415730337
Arkansas,1,Depression,17.864044943820225
Arkansas,1,Covid Cases,0.0414848994511894
Arkansas,1,Covid Deaths,0.0493360168476587
Arkansas,1,Negative,5.257936507936508
Arkansas,1,Positive,5.809859154929577
California,1,Anxiety,23.458088851634535
California,1,Depression,19.735331098072088
California,1,Covid Cases,0.0615479632941357
California,1,Covid Deaths,0.159477838789778
California,1,Negative,4.3760683760683765
California,1,Positive,4.068209500609013
Colorado,1,Anxiety,19.0107223476298
Colorado,1,Depression,15.631489841986456
Colorado,1,Covid Cases,0.135715538746738
Colorado,1,Covid Deaths,0.501406220959732
Colorado,1,Negative,8.78316559926807
Colorado,1,Positive,6.65352390340069
Connecticut,1,Anxiety,21.731172545281225
Connecticut,1,Depression,17.470924690181125
Connecticut,1,Covid Cases,0.394061593335676
Connecticut,1,Covid Deaths,1.03861869181181
Connecticut,1,Negative,3.2351721277478225
Connecticut,1,Positive,2.9411764705882355
Delaware,1,Anxiety,13.274308300395257
Delaware,1,Depression,10.968379446640316
Delaware,1,Covid Cases,0.20804557542875
Delaware,1,Covid Deaths,0.382971695191692
Delaware,1,Negative,4.245709123757904
Delaware,1,Positive,3.9890301670406383
Florida,1,Anxiety,19.663145982648057
Florida,1,Depression,16.31384383251603
Florida,1,Covid Cases,0.0651913625063865
Florida,1,Covid Deaths,0.147643724679731
Florida,1,Negative,1.1377245508982037
Florida,1,Positive,1.6513761467889907
Georgia,1,Anxiety,17.589988751406075
Georgia,1,Depression,14.65973003374578
Georgia,1,Covid Cases,0.10401757578438
Georgia,1,Covid Deaths,0.246846434108541
Georgia,1,Negative,2.0788530465949826
Georgia,1,Positive,1.7241379310344829
Hawaii,1,Anxiety,19.630105017502917
Hawaii,1,Depression,16.36872812135356
Hawaii,1,Covid Cases,0.0706307897737837
Hawaii,1,Covid Deaths,0.141793690180787
Hawaii,1,Negative,3.6496350364963503
Hawaii,1,Positive,4.154002026342452
Idaho,1,Anxiety,15.322860962566844
Idaho,1,Depression,12.683823529411764
Idaho,1,Covid Cases,0.0480612089278451
Idaho,1,Covid Deaths,0.13525644240964
Idaho,1,Negative,0.7532956685499058
Idaho,1,Positive,2.7081243731193583
Illinois,1,Anxiety,20.9769820971867
Illinois,1,Depression,17.218670076726344
Illinois,1,Covid Cases,0.176014123183674
Illinois,1,Covid Deaths,0.395459650624303
