state,week,response,percentage
Alabama,1,anger,1.1194029850746268
Alabama,1,anticipation,3.316326530612245
Alabama,1,disgust,2.5
Alabama,1,fear,2.1459227467811157
Alabama,1,joy,3.053435114503817
Alabama,1,negative,2.380952380952381
Alabama,1,positive,3.0303030303030303
Alabama,1,sadness,2.464788732394366
Alabama,1,surprise,1.550387596899225
Alabama,1,trust,3.1722054380664653
Alaska,1,anger,6.498194945848375
Alaska,1,anticipation,4.696132596685083
Alaska,1,disgust,3.636363636363636
Alaska,1,fear,7.096774193548387
Alaska,1,joy,5.422993492407809
Alaska,1,negative,5.846153846153846
Alaska,1,positive,5.279503105590062
Alaska,1,sadness,7.587548638132296
Alaska,1,surprise,6.666666666666667
Alaska,1,trust,4.73559589581689
Arizona,1,anger,2.909090909090909
Arizona,1,anticipation,4.80225988700565
Arizona,1,disgust,1.5037593984962403
Arizona,1,fear,3.8666666666666663
Arizona,1,joy,5.204460966542751
Arizona,1,negative,3.209109730848861
Arizona,1,positive,5.301556420233463
Arizona,1,sadness,3.3632286995515694
Arizona,1,surprise,1.9230769230769231
Arizona,1,trust,4.130434782608695
Arkansas,1,anger,4.197530864197531
Arkansas,1,anticipation,6.39344262295082
Arkansas,1,disgust,5.128205128205129
Arkansas,1,fear,4.572271386430678
Arkansas,1,joy,7.589285714285715
Arkansas,1,negative,5.257936507936508
Arkansas,1,positive,5.809859154929577
Arkansas,1,sadness,4.8076923076923075
Arkansas,1,surprise,5.319148936170213
Arkansas,1,trust,4.591368227731864
California,1,anger,3.2367972742759794
California,1,anticipation,4.380341880341881
California,1,disgust,4.269293924466338
California,1,fear,3.861003861003861
California,1,joy,3.1135531135531136
California,1,negative,4.3760683760683765
California,1,positive,4.068209500609013
California,1,sadness,4.897418927862343
California,1,surprise,2.920723226703755
California,1,trust,2.5411061285500747
Colorado,1,anger,8.14977973568282
Colorado,1,anticipation,4.968944099378882
Colorado,1,disgust,4.225352112676056
Colorado,1,fear,8.549222797927461
Colorado,1,joy,5.1923076923076925
Colorado,1,negative,8.78316559926807
Colorado,1,positive,6.65352390340069
Colorado,1,sadness,8.00711743772242
Colorado,1,surprise,3.0837004405286343
Colorado,1,trust,6.082725060827251
Connecticut,1,anger,3.1026252983293556
Connecticut,1,anticipation,3.472770323599053
Connecticut,1,disgust,4.1116005873715125
Connecticut,1,fear,3.076062639821029
Connecticut,1,joy,2.33160621761658
Connecticut,1,negative,3.2351721277478225
Connecticut,1,positive,2.9411764705882355
Connecticut,1,sadness,3.00820419325433
Connecticut,1,surprise,2.8776978417266186
Connecticut,1,trust,2.9914529914529915
Delaware,1,anger,2.4970273483947683
Delaware,1,anticipation,4.146341463414634
Delaware,1,disgust,3.0737704918032787
Delaware,1,fear,4.3119847812301835
Delaware,1,joy,2.982456140350877
Delaware,1,negative,4.245709123757904
Delaware,1,positive,3.9890301670406383
Delaware,1,sadness,4.672057502246181
