state,week,response,percentage
Alabama,1,anger,2.654867256637168
Alabama,1,anticipation,11.50442477876106
Alabama,1,disgust,2.654867256637168
Alabama,1,fear,8.849557522123893
Alabama,1,joy,7.079646017699115
Alabama,1,negative,14.159292035398233
Alabama,1,positive,26.54867256637168
Alabama,1,sadness,6.194690265486726
Alabama,1,surprise,1.769911504424779
Alabama,1,trust,18.584070796460175
Alabama,1,Anxiety,18.69807497467072
Alabama,1,Depression,16.181357649442756
Alabama,1,Covid Cases,0.0579110784529927
Alabama,1,Covid Deaths,0.11368641372067
Alaska,1,anger,4.400977995110025
Alaska,1,anticipation,8.312958435207824
Alaska,1,disgust,1.466992665036675
Alaska,1,fear,13.447432762836186
Alaska,1,joy,6.112469437652812
Alaska,1,negative,13.93643031784841
Alaska,1,positive,24.938875305623473
Alaska,1,sadness,9.5354523227383865
Alaska,1,surprise,3.178484107579462
Alaska,1,trust,14.669926650366747
Alaska,1,Anxiety,13.55677454744926
Alaska,1,Depression,11.401535929786068
Alaska,1,Covid Cases,0.0240416430271193
Alaska,1,Covid Deaths,0.0992312305763045
Arizona,1,anger,2.531645569620253
Arizona,1,anticipation,10.759493670886076
Arizona,1,disgust,0.632911392405063
Arizona,1,fear,9.177215189873415
Arizona,1,joy,8.860759493670885
Arizona,1,negative,9.810126582278482
Arizona,1,positive,34.49367088607595
Arizona,1,sadness,4.746835443037975
Arizona,1,surprise,0.949367088607595
Arizona,1,trust,18.037974683544306
Arizona,1,Anxiety,18.17585848074922
Arizona,1,Depression,15.514568158168574
Arizona,1,Covid Cases,0.0397927194418579
Arizona,1,Covid Deaths,0.0856358054613023
Arkansas,1,anger,4.683195592286501
Arkansas,1,anticipation,10.743801652892564
Arkansas,1,disgust,2.754820936639118
Arkansas,1,fear,8.539944903581267
Arkansas,1,joy,9.366391184573002
Arkansas,1,negative,14.600550964187327
Arkansas,1,positive,27.272727272727273
Arkansas,1,sadness,5.509641873278237
Arkansas,1,surprise,2.754820936639118
Arkansas,1,trust,13.774104683195592
Arkansas,1,Anxiety,20.946067415730337
Arkansas,1,Depression,17.864044943820225
Arkansas,1,Covid Cases,0.0414848994511894
Arkansas,1,Covid Deaths,0.0493360168476587
