state,week,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Anxiety,Depression,Covid Cases,Covid Deaths
Alabama,1,2.65,11.5,2.65,8.85,7.08,14.16,26.55,6.19,1.77,18.58,18.7,16.18,0.06,0.11
Alaska,1,4.4,8.31,1.47,13.45,6.11,13.94,24.94,9.54,3.18,14.67,13.56,11.4,0.02,0.1
Arizona,1,2.53,10.76,0.63,9.18,8.86,9.81,34.49,4.75,0.95,18.04,18.18,15.51,0.04,0.09
Arkansas,1,4.68,10.74,2.75,8.54,9.37,14.6,27.27,5.51,2.75,13.77,20.95,17.86,0.04,0.05
California,1,5.29,11.42,3.62,11.14,4.74,17.83,23.26,10.31,2.92,9.47,23.46,19.74,0.06,0.16
Colorado,1,6.89,7.45,1.68,12.29,5.03,17.88,25.14,8.38,1.3,13.97,19.01,15.63,0.14,0.5
Connecticut,1,8.42,9.5,6.05,11.88,3.89,16.85,19.22,7.13,3.46,13.61,21.73,17.47,0.39,1.04
Delaware,1,3.29,10.66,2.35,10.66,5.33,14.73,25.08,8.15,3.29,16.46,13.27,10.97,0.21,0.38
Florida,1,4.12,10.31,0,8.25,5.15,19.59,27.84,5.15,2.06,17.53,19.66,16.31,0.07,0.15
Georgia,1,5.65,11.86,2.26,12.43,6.78,16.38,18.64,7.34,6.78,11.86,17.59,14.66,0.1,0.25
Hawaii,1,6.47,6.47,3.98,13.93,5.47,14.93,20.4,9.45,3.98,14.93,19.63,16.37,0.07,0.14
Idaho,1,2.86,8.57,0,7.14,10,5.71,38.57,4.29,1.43,21.43,15.32,12.68,0.05,0.14
Illinois,1,4.71,8.53,2.94,13.82,5.59,15,25.29,7.94,2.35,13.82,20.98,17.22,0.18,0.4
Indiana,1,4.26,10.4,1.18,13.95,4.73,17.02,24.11,7.09,1.42,15.84,21.12,17.94,0.11,0.37
Iowa,1,5.1,8.78,2.27,9.63,7.65,10.76,29.18,5.67,2.27,18.7,16.93,13.93,0.09,0.12
Kansas,1,3.33,8,0,14,6,13.33,31.33,8,0,16,21.08,17.5,0.06,0.13
Kentucky,1,5.51,11.81,0.79,10.24,5.51,19.69,22.83,4.72,3.15,15.75,16.94,14.29,0.05,0.18
Louisiana,1,3.56,8.74,1.94,11.97,5.5,14.89,28.16,6.8,2.59,15.86,22.04,18.86,0.25,0.71
Maine,1,4.97,9.39,2.76,9.94,5.52,7.73,34.25,4.97,3.31,17.13,12.42,9.92,0.09,0.32
