week;sum;sentiments;count
0;94486;anger;5672
0;94486;anticipation;8832
0;94486;disgust;3132
0;94486;fear;9962
0;94486;joy;5758
0;94486;negative;14526
0;94486;positive;21762
0;94486;sadness;7234
0;94486;surprise;3064
0;94486;trust;14544
1;14065;anger;669
1;14065;anticipation;1404
1;14065;disgust;352
1;14065;fear;1548
1;14065;joy;858
1;14065;negative;2111
1;14065;positive;3522
1;14065;sadness;1070
1;14065;surprise;452
1;14065;trust;2079
2;7449;anger;341
2;7449;anticipation;756
2;7449;disgust;210
2;7449;fear;850
2;7449;joy;416
2;7449;negative;1129
2;7449;positive;1742
2;7449;sadness;544
2;7449;surprise;246
2;7449;trust;1215
3;7025;anger;362
3;7025;anticipation;680
3;7025;disgust;203
3;7025;fear;804
3;7025;joy;393
3;7025;negative;1140
3;7025;positive;1563
3;7025;sadness;578
3;7025;surprise;227
3;7025;trust;1075
4;4831;anger;243
4;4831;anticipation;465
4;4831;disgust;129
4;4831;fear;530
4;4831;joy;298
4;4831;negative;719
4;4831;positive;1147
4;4831;sadness;410
4;4831;surprise;170
4;4831;trust;720
5;4632;anger;316
5;4632;anticipation;353
5;4632;disgust;163
5;4632;fear;565
5;4632;joy;228
5;4632;negative;782
5;4632;positive;933
5;4632;sadness;402
5;4632;surprise;164
5;4632;trust;726
6;4540;anger;266
6;4540;anticipation;410
6;4540;disgust;145
6;4540;fear;488
6;4540;joy;232
6;4540;negative;667
6;4540;positive;1093
6;4540;sadness;287
6;4540;surprise;138
6;4540;trust;814
7;4662;anger;285
7;4662;anticipation;425
7;4662;disgust;152
7;4662;fear;521
7;4662;joy;293
7;4662;negative;722
7;4662;positive;1072
7;4662;sadness;348
7;4662;surprise;136
7;4662;trust;708
8;5593;anger;311
8;5593;anticipation;490
8;5593;disgust;213
8;5593;fear;571
8;5593;joy;336
8;5593;negative;868
8;5593;positive;1251
8;5593;sadness;439
8;5593;surprise;176
8;5593;trust;938
9;7001;anger;462
9;7001;anticipation;676
9;7001;disgust;267
9;7001;fear;813
9;7001;joy;394
9;7001;negative;1111
9;7001;positive;1453
9;7001;sadness;532
9;7001;surprise;245
9;7001;trust;1048
10;5490;anger;282
10;5490;anticipation;510
10;5490;disgust;154
10;5490;fear;612
10;5490;joy;349
10;5490;negative;901
10;5490;positive;1231
10;5490;sadness;408
10;5490;surprise;182
10;5490;trust;861
11;5313;anger;312
11;5313;anticipation;450
11;5313;disgust;189
11;5313;fear;558
11;5313;joy;269
11;5313;negative;878
11;5313;positive;1175
11;5313;sadness;432
11;5313;surprise;183
11;5313;trust;867
12;5928;anger;359
12;5928;anticipation;515
12;5928;disgust;199
12;5928;fear;670
12;5928;joy;296
12;5928;negative;1019
12;5928;positive;1283
12;5928;sadness;484
12;5928;surprise;193
12;5928;trust;910
13;7916;anger;462
13;7916;anticipation;782
13;7916;disgust;228
13;7916;fear;849
13;7916;joy;437
13;7916;negative;1255
13;7916;positive;1834
13;7916;sadness;620
13;7916;surprise;288
13;7916;trust;1161
14;10454;anger;612
14;10454;anticipation;993
