tokens;n;value;week;state
care;3;2;1;Alabama
proud;3;2;1;Alabama
combat;2;-1;1;Alabama
prevent;2;-1;1;Alabama
awarded;1;3;1;Alabama
commended;1;2;1;Alabama
crisis;1;-3;1;Alabama
cut;1;-1;1;Alabama
debt;1;-2;1;Alabama
dilemma;1;-1;1;Alabama
ensure;1;1;1;Alabama
excellent;1;3;1;Alabama
exposed;1;-1;1;Alabama
glad;1;3;1;Alabama
healthy;1;2;1;Alabama
honor;1;2;1;Alabama
inspired;1;2;1;Alabama
robust;1;2;1;Alabama
safe;1;1;1;Alabama
safely;1;1;1;Alabama
safety;1;1;1;Alabama
sick;1;-2;1;Alabama
urgent;1;-1;1;Alabama
validate;1;1;1;Alabama
join;4;1;1;Alaska
protect;4;1;1;Alaska
support;4;2;1;Alaska
difficult;3;-1;1;Alaska
encourage;3;2;1;Alaska
ensure;3;1;1;Alaska
active;2;1;1;Alaska
advanced;2;1;1;Alaska
benefits;2;2;1;Alaska
cancer;2;-1;1;Alaska
free;2;1;1;Alaska
healthy;2;2;1;Alaska
hope;2;2;1;Alaska
limited;2;-1;1;Alaska
wonderful;2;4;1;Alaska
alive;1;1;1;Alaska
amazing;1;4;1;Alaska
brave;1;2;1;Alaska
capable;1;1;1;Alaska
cares;1;2;1;Alaska
cautious;1;-1;1;Alaska
challenge;1;-1;1;Alaska
competitive;1;2;1;Alaska
congrats;1;2;1;Alaska
dedicated;1;2;1;Alaska
demand;1;-1;1;Alaska
devastated;1;-2;1;Alaska
devastating;1;-2;1;Alaska
distress;1;-2;1;Alaska
dream;1;1;1;Alaska
drop;1;-1;1;Alaska
encouraged;1;2;1;Alaska
ensuring;1;1;1;Alaska
focused;1;2;1;Alaska
hard;1;-1;1;Alaska
helpful;1;2;1;Alaska
humor;1;2;1;Alaska
illness;1;-2;1;Alaska
inspire;1;2;1;Alaska
isolated;1;-1;1;Alaska
joke;1;2;1;Alaska
lack;1;-2;1;Alaska
loss;1;-3;1;Alaska
motivate;1;1;1;Alaska
pain;1;-2;1;Alaska
positive;1;2;1;Alaska
prevent;1;-1;1;Alaska
protected;1;1;1;Alaska
proud;1;2;1;Alaska
reliant;1;2;1;Alaska
risk;1;-2;1;Alaska
safe;1;1;1;Alaska
safety;1;1;1;Alaska
severe;1;-2;1;Alaska
share;1;1;1;Alaska
smile;1;2;1;Alaska
sore;1;-1;1;Alaska
suicide;1;-2;1;Alaska
thankful;1;2;1;Alaska
threat;1;-2;1;Alaska
violence;1;-3;1;Alaska
vulnerable;1;-2;1;Alaska
care;13;2;1;Arizona
support;11;2;1;Arizona
heroes;8;2;1;Arizona
crisis;7;-3;1;Arizona
ensure;6;1;1;Arizona
safe;6;1;1;Arizona
protect;4;1;1;Arizona
cares;3;2;1;Arizona
healthy;3;2;1;Arizona
honor;3;2;1;Arizona
pay;3;-1;1;Arizona
approved;2;2;1;Arizona
free;2;1;1;Arizona
reach;2;1;1;Arizona
scams;2;-2;1;Arizona
share;2;1;1;Arizona
struggling;2;-2;1;Arizona
suicide;2;-2;1;Arizona
abuse;1;-3;1;Arizona
amazing;1;4;1;Arizona
beautiful;1;3;1;Arizona
calm;1;2;1;Arizona
danger;1;-2;1;Arizona
emergency;1;-2;1;Arizona
expand;1;1;1;Arizona
fair;1;2;1;Arizona
fight;1;-1;1;Arizona
focused;1;2;1;Arizona
fun;1;4;1;Arizona
glad;1;3;1;Arizona
grants;1;1;1;Arizona
grateful;1;3;1;Arizona
happy;1;3;1;Arizona
helpful;1;2;1;Arizona
helps;1;2;1;Arizona
importance;1;2;1;Arizona
improvement;1;2;1;Arizona
increased;1;1;1;Arizona
joy;1;3;1;Arizona
launched;1;1;1;Arizona
lost;1;-3;1;Arizona
loved;1;3;1;Arizona
safely;1;1;1;Arizona
smart;1;1;1;Arizona
strong;1;2;1;Arizona
trouble;1;-2;1;Arizona
care;8;2;1;Arkansas
awarded;4;3;1;Arkansas
benefit;4;2;1;Arkansas
cares;4;2;1;Arkansas
protect;4;1;1;Arkansas
crisis;3;-3;1;Arkansas
support;3;2;1;Arkansas
damage;2;-3;1;Arkansas
ensure;2;1;1;Arkansas
glad;2;3;1;Arkansas
grateful;2;3;1;Arkansas
helpful;2;2;1;Arkansas
pay;2;-1;1;Arkansas
abuse;1;-3;1;Arkansas
approved;1;2;1;Arkansas
battle;1;-1;1;Arkansas
beaten;1;-2;1;Arkansas
benefits;1;2;1;Arkansas
bless;1;2;1;Arkansas
celebrated;1;3;1;Arkansas
combat;1;-1;1;Arkansas
commit;1;1;1;Arkansas
cutting;1;-1;1;Arkansas
dedicated;1;2;1;Arkansas
destroyed;1;-3;1;Arkansas
destroys;1;-3;1;Arkansas
doubt;1;-1;1;Arkansas
encourage;1;2;1;Arkansas
expand;1;1;1;Arkansas
freedom;1;2;1;Arkansas
god;1;1;1;Arkansas
happiness;1;3;1;Arkansas
helping;1;2;1;Arkansas
heroes;1;2;1;Arkansas
hid;1;-1;1;Arkansas
honor;1;2;1;Arkansas
honored;1;2;1;Arkansas
hostile;1;-2;1;Arkansas
increased;1;1;1;Arkansas
joy;1;3;1;Arkansas
lost;1;-3;1;Arkansas
pleased;1;3;1;Arkansas
save;1;2;1;Arkansas
scandal;1;-3;1;Arkansas
significant;1;1;1;Arkansas
spirit;1;1;1;Arkansas
steal;1;-2;1;Arkansas
strong;1;2;1;Arkansas
supporting;1;1;1;Arkansas
triumph;1;4;1;Arkansas
true;1;2;1;Arkansas
unemployment;1;-2;1;Arkansas
victims;1;-3;1;Arkansas
vulnerable;1;-2;1;Arkansas
war;1;-2;1;Arkansas
warn;1;-2;1;Arkansas
wishing;1;1;1;Arkansas
worst;1;-3;1;Arkansas
care;19;2;1;California
crisis;9;-3;1;California
join;6;1;1;California
avoid;4;-1;1;California
safe;4;1;1;California
benefits;3;2;1;California
difficult;3;-1;1;California
ensure;3;1;1;California
failed;3;-2;1;California
focused;3;2;1;California
glad;3;3;1;California
hard;3;-1;1;California
hate;3;-3;1;California
protect;3;1;1;California
safely;3;1;1;California
safety;3;1;1;California
detained;2;-2;1;California
distraction;2;-2;1;California
emergency;2;-2;1;California
expand;2;1;1;California
granted;2;1;1;California
hardship;2;-2;1;California
healthy;2;2;1;California
helping;2;2;1;California
justice;2;2;1;California
leave;2;-1;1;California
obstacles;2;-2;1;California
opportunity;2;2;1;California
pay;2;-1;1;California
proud;2;2;1;California
sick;2;-2;1;California
stop;2;-1;1;California
threat;2;-2;1;California
unacceptable;2;-2;1;California
vulnerable;2;-2;1;California
worse;2;-3;1;California
abuse;1;-3;1;California
advantage;1;2;1;California
attacks;1;-1;1;California
bailout;1;-2;1;California
bias;1;-1;1;California
cancer;1;-1;1;California
combat;1;-1;1;California
committed;1;1;1;California
competent;1;2;1;California
death;1;-2;1;California
demanding;1;-1;1;California
detention;1;-2;1;California
devastating;1;-2;1;California
died;1;-3;1;California
disaster;1;-2;1;California
disregard;1;-2;1;California
disruptions;1;-2;1;California
encourage;1;2;1;California
endorsed;1;2;1;California
excluded;1;-2;1;California
exposed;1;-1;1;California
failing;1;-2;1;California
free;1;1;1;California
grace;1;1;1;California
grateful;1;3;1;California
growing;1;1;1;California
harmful;1;-2;1;California
heartfelt;1;3;1;California
honored;1;2;1;California
hurt;1;-2;1;California
hurting;1;-2;1;California
imposed;1;-1;1;California
improve;1;2;1;California
increase;1;1;1;California
inspires;1;2;1;California
inspiring;1;3;1;California
interrupted;1;-2;1;California
invite;1;1;1;California
lack;1;-2;1;California
limits;1;-1;1;California
loss;1;-3;1;California
lost;1;-3;1;California
love;1;3;1;California
miss;1;-2;1;California
outraged;1;-3;1;California
pain;1;-2;1;California
polluters;1;-2;1;California
prepared;1;1;1;California
prison;1;-2;1;California
