state,week,response,percentage
Alabama,1,anger,2.65
Alabama,1,anticipation,11.5
Alabama,1,disgust,2.65
Alabama,1,fear,8.85
Alabama,1,joy,7.08
Alabama,1,negative,14.16
Alabama,1,positive,26.55
Alabama,1,sadness,6.19
Alabama,1,surprise,1.77
Alabama,1,trust,18.58
Alabama,1,Anxiety,18.7
Alabama,1,Depression,16.18
Alabama,1,covid_cases,0.06
Alabama,1,covid_deaths,0.11
Alaska,1,anger,4.4
Alaska,1,anticipation,8.31
Alaska,1,disgust,1.47
Alaska,1,fear,13.45
Alaska,1,joy,6.11
Alaska,1,negative,13.94
Alaska,1,positive,24.94
Alaska,1,sadness,9.54
Alaska,1,surprise,3.18
Alaska,1,trust,14.67
Alaska,1,Anxiety,13.56
Alaska,1,Depression,11.4
Alaska,1,covid_cases,0.02
Alaska,1,covid_deaths,0.1
Arizona,1,anger,2.53
Arizona,1,anticipation,10.76
Arizona,1,disgust,0.63
Arizona,1,fear,9.18
Arizona,1,joy,8.86
Arizona,1,negative,9.81
Arizona,1,positive,34.49
Arizona,1,sadness,4.75
Arizona,1,surprise,0.95
Arizona,1,trust,18.04
Arizona,1,Anxiety,18.18
Arizona,1,Depression,15.51
Arizona,1,covid_cases,0.04
Arizona,1,covid_deaths,0.09
Arkansas,1,anger,4.68
Arkansas,1,anticipation,10.74
Arkansas,1,disgust,2.75
Arkansas,1,fear,8.54
Arkansas,1,joy,9.37
Arkansas,1,negative,14.6
Arkansas,1,positive,27.27
Arkansas,1,sadness,5.51
Arkansas,1,surprise,2.75
Arkansas,1,trust,13.77
Arkansas,1,Anxiety,20.95
Arkansas,1,Depression,17.86
Arkansas,1,covid_cases,0.04
Arkansas,1,covid_deaths,0.05
California,1,anger,5.29
California,1,anticipation,11.42
California,1,disgust,3.62
California,1,fear,11.14
California,1,joy,4.74
California,1,negative,17.83
California,1,positive,23.26
California,1,sadness,10.31
California,1,surprise,2.92
California,1,trust,9.47
California,1,Anxiety,23.46
California,1,Depression,19.74
California,1,covid_cases,0.06
California,1,covid_deaths,0.16
Colorado,1,anger,6.89
Colorado,1,anticipation,7.45
Colorado,1,disgust,1.68
Colorado,1,fear,12.29
Colorado,1,joy,5.03
Colorado,1,negative,17.88
Colorado,1,positive,25.14
Colorado,1,sadness,8.38
Colorado,1,surprise,1.3
Colorado,1,trust,13.97
Colorado,1,Anxiety,19.01
Colorado,1,Depression,15.63
Colorado,1,covid_cases,0.14
Colorado,1,covid_deaths,0.5
Connecticut,1,anger,8.42
Connecticut,1,anticipation,9.5
Connecticut,1,disgust,6.05
Connecticut,1,fear,11.88
Connecticut,1,joy,3.89
Connecticut,1,negative,16.85
Connecticut,1,positive,19.22
Connecticut,1,sadness,7.13
Connecticut,1,surprise,3.46
Connecticut,1,trust,13.61
Connecticut,1,Anxiety,21.73
Connecticut,1,Depression,17.47
Connecticut,1,covid_cases,0.39
Connecticut,1,covid_deaths,1.04
Delaware,1,anger,3.29
Delaware,1,anticipation,10.66
Delaware,1,disgust,2.35
Delaware,1,fear,10.66
Delaware,1,joy,5.33
Delaware,1,negative,14.73
Delaware,1,positive,25.08
Delaware,1,sadness,8.15
Delaware,1,surprise,3.29
Delaware,1,trust,16.46
Delaware,1,Anxiety,13.27
Delaware,1,Depression,10.97
Delaware,1,covid_cases,0.21
Delaware,1,covid_deaths,0.38
Florida,1,anger,4.12
Florida,1,anticipation,10.31
Florida,1,disgust,0
Florida,1,fear,8.25
Florida,1,joy,5.15
Florida,1,negative,19.59
Florida,1,positive,27.84
Florida,1,sadness,5.15
Florida,1,surprise,2.06
Florida,1,trust,17.53
Florida,1,Anxiety,19.66
Florida,1,Depression,16.31
Florida,1,covid_cases,0.07
Florida,1,covid_deaths,0.15
