state,EST_ST,week,count,anxiety_percentage,depression_percentage
alabama,1,1,987,18.69807497467072,16.181357649442756
alabama,1,2,582,31.709621993127147,27.441580756013742
alabama,1,3,1947,9.478685156651258,8.202876219825372
alabama,1,4,1662,11.104091456077017,9.609506618531888
alabama,1,5,1756,10.509681093394075,9.09510250569476
alabama,1,6,1296,14.239969135802468,12.323302469135802
alabama,1,7,1102,16.74682395644283,14.492740471869327
alabama,1,8,1566,11.784802043422731,10.198595146871009
alabama,1,9,1633,11.301285976729943,9.780159216166563
alabama,1,10,1480,12.469594594594597,10.791216216216217
alabama,1,11,1483,12.444369521240729,10.769386378961563
alabama,1,12,1496,12.336229946524064,10.675802139037431
alabama,1,13,1542,11.96822308690013,10.357328145265887
alabama,1,14,1550,11.906451612903226,10.303870967741936
alabama,1,15,1408,13.107244318181818,11.343039772727272
alabama,1,16,1304,14.15260736196319,12.247699386503069
alabama,1,17,1139,16.202809482001754,14.021949078138718
alabama,1,18,738,25.006775067750677,21.64092140921409
alabama,1,19,826,22.34261501210654,19.33535108958838
alabama,1,20,884,20.876696832579185,18.066742081447963
alabama,1,21,940,19.632978723404257,16.990425531914894
alabama,1,22,862,21.40951276102088,18.52784222737819
alabama,1,23,987,18.69807497467072,16.181357649442756
alabama,1,24,915,20.169398907103822,17.45464480874317
alabama,1,25,1008,18.308531746031747,15.844246031746032
alabama,1,26,977,18.889457523029684,16.346980552712385
alabama,1,27,992,18.603830645161292,16.099798387096776
alabama,1,28,872,21.16399082568807,18.315366972477065
alabama,1,29,948,19.467299578059073,16.84704641350211
alabama,1,30,686,26.90233236151603,23.28134110787172
alabama,1,31,922,20.016268980477225,17.322125813449023
alabama,1,32,879,20.995449374288963,18.169510807736064
alabama,1,33,810,22.78395061728395,19.717283950617283
alabama,1,34,857,21.534422403733956,18.635939323220537
alabama,1,35,945,19.52910052910053,16.900529100529102
alabama,1,36,918,20.103485838779957,17.39760348583878
alabama,1,37,885,20.853107344632768,18.046327683615814
alabama,1,38,794,23.243073047858942,20.114609571788417
alabama,1,39,714,25.84733893557423,22.368347338935575
alaska,2,1,1823,13.55677454744926,11.401535929786068
alaska,2,2,806,30.662531017369727,25.787841191067
alaska,2,3,2371,10.423450021088149,8.766343315056938
alaska,2,4,1425,17.34315789473684,14.5859649122807
alaska,2,5,1507,16.39946914399469,13.792302587923023
alaska,2,6,1212,20.39108910891089,17.1493399339934
alaska,2,7,790,31.28354430379747,26.310126582278478
alaska,2,8,1954,12.64790174002047,10.637154554759467
alaska,2,9,1457,16.962251201098148,14.265614275909403
alaska,2,10,1278,19.338028169014084,16.263693270735523
alaska,2,11,1171,21.105038428693423,17.749786507258754
alaska,2,12,1012,24.42094861660079,20.538537549407113
alaska,2,13,2141,11.543204110228864,9.708080336291452
alaska,2,14,2112,11.701704545454543,9.841382575757576
alaska,2,15,1959,12.6156202143951,10.610005104645229
alaska,2,16,1925,12.83844155844156,10.797402597402597
alaska,2,17,1769,13.970604861503674,11.749576031656304
alaska,2,18,1349,18.320237212750182,15.407709414381022
alaska,2,19,1717,14.393709959231217,12.10541642399534
alaska,2,20,1697,14.563347083087802,12.248084855627578
alaska,2,21,1516,16.30211081794195,13.71042216358839
alaska,2,22,1378,17.93468795355588,15.083454281567487
alaska,2,23,1557,15.872832369942197,13.349389852280028
alaska,2,24,1453,17.00894700619408,14.30488644184446
alaska,2,25,1568,15.761479591836734,13.255739795918368
alaska,2,26,1444,17.114958448753463,14.39404432132964
alaska,2,27,1475,16.755254237288135,14.091525423728813
alaska,2,28,1207,20.47555923777962,17.220381110190555
alaska,2,29,1518,16.280632411067195,13.69235836627141
alaska,2,30,1236,19.99514563106796,16.816343042071196
alaska,2,31,1311,18.851258581235697,15.854309687261631
alaska,2,32,1211,20.407927332782823,17.163501238645747
alaska,2,33,1088,22.715073529411764,19.10386029411765
alaska,2,34,1178,20.97962648556876,17.644312393887947
alaska,2,35,1209,20.441687344913152,17.191894127378
alaska,2,36,1232,20.060064935064936,16.870941558441558
alaska,2,37,1197,20.646616541353385,17.364243943191312
alaska,2,38,1186,20.838111298482293,17.52529510961214
alaska,2,39,1159,21.32355478861087,17.93356341673857
arizona,4,1,1922,18.17585848074922,15.514568158168574
arizona,4,2,1046,33.397705544933075,28.507648183556405
arizona,4,3,3312,10.54770531400966,9.003321256038648
arizona,4,4,2478,14.09765940274415,12.033494753833736
arizona,4,5,2697,12.952910641453467,11.056358917315537
arizona,4,6,2116,16.50945179584121,14.092155009451796
arizona,4,7,1995,17.51077694235589,14.9468671679198
arizona,4,8,3154,11.076093849080532,9.45434369055168
arizona,4,9,2388,14.628978224455611,12.487018425460636
arizona,4,10,2318,15.070750647109575,12.864106988783432
arizona,4,11,2310,15.122943722943724,12.908658008658008
arizona,4,12,2000,17.467,14.9095
arizona,4,13,2758,12.666424945612762,10.811820159535896
arizona,4,14,2787,12.534625044851094,10.699318263365626
arizona,4,15,2613,13.369307309605816,11.411787217757366
arizona,4,16,2446,14.282093213409649,12.190923957481605
arizona,4,17,2175,16.061609195402298,13.709885057471263
arizona,4,18,1567,22.293554562858965,19.029355456285895
arizona,4,19,1858,18.80193756727664,16.04897739504844
arizona,4,20,1942,17.988671472708546,15.354788877445932
arizona,4,21,1963,17.796230259806418,15.190524707080998
arizona,4,22,1905,18.33805774278215,15.653018372703412
arizona,4,23,2239,15.602501116569895,13.317999106744082
arizona,4,24,1947,17.942475603492554,15.315356959424756
arizona,4,25,1972,17.71501014198783,15.121196754563895
arizona,4,26,2032,17.191929133858267,14.674704724409448
arizona,4,27,2056,16.99124513618677,14.5034046692607
arizona,4,28,1798,19.4293659621802,16.584538375973302
arizona,4,29,2029,17.21734844751109,14.696402168555938
arizona,4,30,1524,22.92257217847769,19.566272965879264
arizona,4,31,1872,18.661324786324787,15.928952991452991
arizona,4,32,1745,20.01948424068768,17.088252148997135
arizona,4,33,1646,21.223572296476306,18.11603888213852
arizona,4,34,1623,21.52433764633395,18.372766481823785
arizona,4,35,1762,19.82633371169126,16.92338251986379
arizona,4,36,1744,20.030963302752298,17.098050458715598
arizona,4,37,1601,21.820112429731417,18.62523422860712
arizona,4,38,1499,23.304869913275517,19.892595063375584
arizona,4,39,1421,24.584095707248416,20.98451794510908
arkansas,5,1,890,20.946067415730337,17.864044943820225
arkansas,5,2,567,32.87830687830688,28.040564373897706
arkansas,5,3,1822,10.231613611416028,8.726125137211856
arkansas,5,4,1551,12.019342359767892,10.250805931656997
arkansas,5,5,1636,11.39486552567237,9.718215158924206
arkansas,5,6,1299,14.351039260969976,12.23941493456505
arkansas,5,7,1123,16.600178094390028,14.157613535173642
arkansas,5,8,1546,12.058214747736091,10.283958602846054
arkansas,5,9,1599,11.658536585365852,9.94308943089431
arkansas,5,10,1424,13.09129213483146,11.16502808988764
arkansas,5,11,1457,12.794783802333562,10.912148249828414
arkansas,5,12,1403,13.287241625089097,11.332145402708482
arkansas,5,13,1486,12.545087483176312,10.699192462987886
arkansas,5,14,1452,12.838842975206612,10.949724517906336
arkansas,5,15,1295,14.395366795366796,12.277220077220075
arkansas,5,16,1299,14.351039260969976,12.23941493456505
arkansas,5,17,1150,16.210434782608697,13.825217391304347
arkansas,5,18,744,25.056451612903224,21.36962365591398
arkansas,5,19,900,20.713333333333335,17.665555555555557
arkansas,5,20,979,19.04187946884576,16.240040858018386
arkansas,5,21,845,22.06153846153846,18.815384615384616
arkansas,5,22,926,20.131749460043196,17.169546436285096
arkansas,5,23,1091,17.087076076993583,14.572868927589369
arkansas,5,24,974,19.139630390143736,16.32340862422998
arkansas,5,25,978,19.061349693251532,16.256646216768917
arkansas,5,26,911,20.463227222832053,17.45225027442371
arkansas,5,27,907,20.553472987872105,17.529217199558985
arkansas,5,28,838,22.24582338902148,18.97255369928401
arkansas,5,29,957,19.479623824451412,16.61337513061651
arkansas,5,30,687,27.1353711790393,23.142649199417757
arkansas,5,31,860,21.676744186046513,18.48720930232558
arkansas,5,32,862,21.62645011600928,18.44431554524362
arkansas,5,33,708,26.33050847457627,22.456214689265536
arkansas,5,34,843,22.11387900355872,18.86002372479241
arkansas,5,35,873,21.353951890034363,18.211912943871702
arkansas,5,36,917,20.329334787350053,17.338058887677207
arkansas,5,37,797,23.390213299874528,19.948557089084066
arkansas,5,38,725,25.713103448275863,21.929655172413792
arkansas,5,39,640,29.128125,24.8421875
california,6,1,4772,23.458088851634535,19.735331098072088
california,6,2,2896,38.65400552486188,32.51968232044199
california,6,3,9661,11.586999275437323,9.74816271607494
california,6,4,7157,15.64091099622747,13.158725723068324
california,6,5,7664,14.606210855949897,12.288230688935284
california,6,6,5666,19.756794917049064,16.621426050123542
california,6,7,5254,21.30605253140465,17.924819185382567
california,6,8,7915,14.14301958307012,11.898547062539482
california,6,9,6939,16.132295719844358,13.572128548782246
california,6,10,6681,16.75527615626403,14.096243077383626
california,6,11,6685,16.745250560957366,14.08780852655198
california,6,12,6521,17.166385523692686,14.442110105811992
california,6,13,8615,12.993847939640162,10.931746952988972
california,6,14,8581,13.04533271180515,10.975061181680458
california,6,15,7507,14.91168242973225,12.545224457173305
california,6,16,7073,15.826664781563691,13.315000706913615
california,6,17,6395,17.504612978889757,14.72666145426114
california,6,18,4060,27.57192118226601,23.196305418719213
california,6,19,5058,22.131672597864767,18.619414788453938
california,6,20,5334,20.98650168728909,17.655980502437195
california,6,21,5595,20.00750670241287,16.832350312779266
california,6,22,5527,20.25366383209698,17.0394427356613
california,6,23,6417,17.444600280504908,14.676172666354995
california,6,24,6012,18.619760479041915,15.664836992681304
california,6,25,6154,18.190120246993825,15.303379915502113
california,6,26,6181,18.11066170522569,15.236531305613978
california,6,27,5931,18.874051593323216,15.878772551003204
california,6,28,5544,20.19155844155844,16.987193362193363
california,6,29,6227,17.97687489963064,15.123976232535732
california,6,30,4810,23.272765072765072,19.57941787941788
california,6,31,5775,19.383896103896102,16.307705627705626
california,6,32,5815,19.250558899398108,16.195528804815133
california,6,33,5318,21.049642722828132,17.709101165851823
california,6,34,5377,20.81867212200111,17.514785196206063
california,6,35,5593,20.014661183622387,16.838369390309314
california,6,36,5359,20.888598619145363,17.57361448031349
california,6,37,4959,22.57350272232305,18.991127243395844
california,6,38,4744,23.596543001686346,19.851812816188872
california,6,39,4621,24.224626704176583,20.380220731443412
colorado,8,1,1772,19.0107223476298,15.631489841986456
colorado,8,2,963,34.981308411214954,28.76323987538941
colorado,8,3,3206,10.507485963817842,8.639737991266376
colorado,8,4,2159,15.603056970819823,12.829550717924963
colorado,8,5,2240,15.038839285714284,12.365625
colorado,8,6,1673,20.135684399282727,16.556485355648537
colorado,8,7,1458,23.104938271604937,18.997942386831276
colorado,8,8,2435,13.834496919917864,11.37535934291581
colorado,8,9,1958,17.20480081716037,14.146578140960164
colorado,8,10,1904,17.692752100840337,14.547794117647058
colorado,8,11,1835,18.358038147138963,15.094822888283378
colorado,8,12,1823,18.47888096544158,15.194185408667032
colorado,8,13,2690,12.523048327137548,10.297026022304832
colorado,8,14,2763,12.192182410423452,10.024972855591749
colorado,8,15,2603,12.941605839416058,10.641183250096043
colorado,8,16,2452,13.73858075040783,11.296492659053834
colorado,8,17,2434,13.840180772391124,11.380032867707476
colorado,8,18,1626,20.717712177121772,17.035055350553506
colorado,8,19,2029,16.602759980285857,13.651552488910792
colorado,8,20,2035,16.553808353808353,13.611302211302212
colorado,8,21,1957,17.21359223300971,14.153806847215126
colorado,8,22,1661,20.28115593016255,16.676098735701384
colorado,8,23,1959,17.19601837672282,14.139356814701378
colorado,8,24,1960,17.187244897959182,14.132142857142858
colorado,8,25,1922,17.527055150884497,14.411550468262227
colorado,8,26,1901,17.720673329826408,14.57075223566544
colorado,8,27,1871,18.004810261892036,14.804382683057188
colorado,8,28,1850,18.20918918918919,14.972432432432432
colorado,8,29,1881,17.90909090909091,14.725677830940988
colorado,8,30,1447,23.280580511402903,19.142363510711817
colorado,8,31,1793,18.788064696040156,15.4484104852203
colorado,8,32,1684,20.0041567695962,16.44833729216152
colorado,8,33,1713,19.665499124343256,16.169877408056042
colorado,8,34,1592,21.160175879396984,17.39886934673367
colorado,8,35,1675,20.111641791044775,16.536716417910448
colorado,8,36,1667,20.208158368326337,16.61607678464307
colorado,8,37,1557,21.63583815028902,17.789980732177263
colorado,8,38,1483,22.715441672285905,18.677680377612948
colorado,8,39,1455,23.15257731958763,19.037113402061856
connecticut,9,1,1049,21.731172545281225,17.470924690181125
connecticut,9,2,662,34.43504531722054,27.68429003021148
connecticut,9,3,2380,9.5781512605042,7.700420168067227
connecticut,9,4,1757,12.974388161639158,10.430848036425726
connecticut,9,5,1640,13.9,11.175
connecticut,9,6,1199,19.012510425354463,15.285237698081737
connecticut,9,7,1302,17.508448540706606,14.076036866359448
connecticut,9,8,1766,12.908267270668176,10.377689694224236
connecticut,9,9,1660,13.732530120481927,11.040361445783132
connecticut,9,10,1416,16.098870056497177,12.942796610169491
connecticut,9,11,1530,14.89934640522876,11.97843137254902
connecticut,9,12,1382,16.49493487698987,13.26121562952243
connecticut,9,13,1970,11.571573604060914,9.303045685279187
connecticut,9,14,1961,11.624681285058644,9.34574196838348
connecticut,9,15,1836,12.416122004357298,9.982026143790849
connecticut,9,16,1763,12.930232558139537,10.395348837209305
connecticut,9,17,1599,14.256410256410255,11.461538461538462
connecticut,9,18,988,23.072874493927124,18.549595141700404
connecticut,9,19,1194,19.09212730318258,15.349246231155778
connecticut,9,20,1168,19.517123287671232,15.690924657534246
connecticut,9,21,1144,19.926573426573427,16.020104895104897
connecticut,9,22,1166,19.550600343053173,15.717838765008576
connecticut,9,23,1365,16.7003663003663,13.426373626373628
